game, score, epsilon, loss
131, 4, 0.009995187929535779, 0.006377482090175636
132, 0, 0.009995187929535779, 0.005320945483011504
133, 35, 0.009995187929535779, 0.005412941188209474
134, 2, 0.009995187929535779, 0.006586923381720467
135, 45, 0.009995187929535779, 0.004679073816922621
136, 2, 0.009995187929535779, 0.004499393847139402
137, 4, 0.009995187929535779, 0.004251061320568608
138, 34, 0.009995187929535779, 0.00448515914857041
139, 2, 0.009995187929535779, 0.004886985981258853
140, 4, 0.009995187929535779, 0.0045038900239680844
141, 1, 0.009995187929535779, 0.006325072891107111
142, 1, 0.009995187929535779, 0.0071886066121585445
143, 1, 0.009995187929535779, 0.006194874926498442
144, 45, 0.009995187929535779, 0.004538729487519179
145, 7, 0.009995187929535779, 0.004133453191314613
146, 4, 0.009995187929535779, 0.008071133912336536
147, 17, 0.009995187929535779, 0.006016477134815723
148, -1, 0.009995187929535779, 0.0072525203801118415
149, 4, 0.009995187929535779, 0.005445909739388683
150, 7, 0.009995187929535779, 0.004190100981286784
151, 12, 0.009995187929535779, 0.0036612627619918244
152, 0, 0.009995187929535779, 0.0034386824597330656
153, -1, 0.009995187929535779, 0.005251539754681289
154, 0, 0.009995187929535779, 0.0023358178299826547
155, -1, 0.009995187929535779, 0.0034449803332487743
156, 1, 0.009995187929535779, 0.004266779603702682
157, 1, 0.009995187929535779, 0.005633066074465806
158, 16, 0.009995187929535779, 0.006391670973695947
159, 1, 0.009995187929535779, 0.003514777144624127
160, -1, 0.009995187929535779, 0.0021807778626680373
161, 5, 0.009995187929535779, 0.007508434682288243
162, 2, 0.009995187929535779, 0.00514038999018998
163, -1, 0.009995187929535779, 0.005888817583521207
164, 10, 0.009995187929535779, 0.005528740071833639
165, 2, 0.009995187929535779, 0.007094135533456933
166, -1, 0.009995187929535779, 0.007644086377695203
167, 1, 0.009995187929535779, 0.006139278657874971
168, 6, 0.009995187929535779, 0.004299761367340883
169, 2, 0.009995187929535779, 0.006702061895638296
170, 7, 0.009995187929535779, 0.005294972052537529
171, 9, 0.009995187929535779, 0.005302125588059425
172, 7, 0.009995187929535779, 0.006569254300531062
173, 3, 0.009995187929535779, 0.0040810253885057235
174, 4, 0.009995187929535779, 0.004237353195989035
175, -1, 0.009995187929535779, 0.0026857143697830346
176, 0, 0.009995187929535779, 0.006187551952898503
177, 3, 0.009995187929535779, 0.004670764878392219
178, -1, 0.009995187929535779, 0.0024045291046301525
179, -1, 0.009995187929535779, 0.0028856536994377774
180, 0, 0.009995187929535779, 0.002870158007254406
181, -1, 0.009995187929535779, 0.002599160922201056
182, 8, 0.009995187929535779, 0.004241229463368654
183, 4, 0.009995187929535779, 0.00369666603904578
184, 1, 0.009995187929535779, 0.004517194927867615
185, 4, 0.009995187929535779, 0.005036982609246805
186, 1, 0.009995187929535779, 0.0053220029751008206
187, 5, 0.009995187929535779, 0.005681648941619413
188, 1, 0.009995187929535779, 0.0030724375762722707
189, 0, 0.009995187929535779, 0.003632908376554648
190, 7, 0.009995187929535779, 0.004321062854132173
191, 19, 0.009995187929535779, 0.004894799243942526
192, 2, 0.009995187929535779, 0.0063626561043919
193, 22, 0.009995187929535779, 0.005020334800600489
194, 5, 0.009995187929535779, 0.004412795590429471
195, 3, 0.009995187929535779, 0.0045276988652490436
196, 4, 0.009995187929535779, 0.004474459232931788
197, 6, 0.009995187929535779, 0.0069374345843023905
198, 12, 0.009995187929535779, 0.005462693904216091
199, 1, 0.009995187929535779, 0.00493195786007813
200, 0, 0.009995187929535779, 0.007933247910470379
201, -1, 0.009995187929535779, 0.005891260008017222
202, 4, 0.009995187929535779, 0.005202516640831784
203, 2, 0.009995187929535779, 0.003081395729691133
204, -1, 0.009995187929535779, 0.004582625441253185
205, 0, 0.009995187929535779, 0.006070136332086154
206, -1, 0.009995187929535779, 0.00453447209050258
207, 7, 0.009995187929535779, 0.004802628311032024
208, 1, 0.009995187929535779, 0.006555349594264319
209, 19, 0.009995187929535779, 0.0039172740346646
210, 1, 0.009995187929535779, 0.004101468782339778
211, 3, 0.009995187929535779, 0.006553025064723832
212, 1, 0.009995187929535779, 0.005416357656940818
213, -1, 0.009995187929535779, 0.006291263364255428
214, 3, 0.009995187929535779, 0.005684433664594378
215, 2, 0.009995187929535779, 0.006567725076757628
216, 3, 0.009995187929535779, 0.006221448602054709
217, 0, 0.009995187929535779, 0.004592777928337455
218, 4, 0.009995187929535779, 0.006052430779711018
